memberid,product_name,sn_rec_rule_id,sn_rec_kxReco,sn_rec_source,sn_rec_score
aHKBeNJvLl,Shows Referral,1,Hotel Referral,product_name,0.441860465
aHKBeNJvLl,Shows Referral,2,Flight Referral,product_name,0.186046512
aHKBeNJvLl,Shows Referral,3,Flight Search,product_name,0.145496536
aHKBeNJvLl,Shows Referral,4,Hotel Search,product_name,0.11627907
aHKBeNJvLl,Shows Referral,5,Groupon Getaways,product_name,0.093023256
AhMoPeeblK,Flight Referral,1,Hotel Referral,product_name,0.242002782
AhMoPeeblK,Flight Referral,2,Flight Search,product_name,0.098748261
AhMoPeeblK,Flight Referral,3,Hotel Search,product_name,0.082058414
AhMoPeeblK,Flight Referral,4,Event Referral,product_name,0.059805285
AhMoPeeblK,Flight Referral,5,Cruise Referral,product_name,0.059805285
aHZEPetJVc,Hotel Referral,1,Flight Referral,product_name,0.119917298
aHZEPetJVc,Hotel Referral,2,Hotel Search,product_name,0.105444521
aHZEPetJVc,Hotel Referral,3,Flight Search,product_name,0.072363887
aHZEPetJVc,Hotel Referral,4,Event Referral,product_name,0.059958649
aHZEPetJVc,Hotel Referral,5,Cruise Referral,product_name,0.052377671
aHZQKeYHUq,Flight Referral,1,Hotel Referral,product_name,0.242002782
aHZQKeYHUq,Flight Referral,2,Flight Search,product_name,0.098748261
aHZQKeYHUq,Flight Referral,3,Hotel Search,product_name,0.082058414
aHZQKeYHUq,Flight Referral,4,Event Referral,product_name,0.059805285
aHZQKeYHUq,Flight Referral,5,Cruise Referral,product_name,0.059805285
AiivfrJeYb,Event Referral,1,Hotel Referral,product_name,0.256637168
AiivfrJeYb,Event Referral,2,Flight Referral,product_name,0.126843658
AiivfrJeYb,Event Referral,3,Hotel Search,product_name,0.105444521
AiivfrJeYb,Event Referral,4,Flight Search,product_name,0.072363887
AiivfrJeYb,Event Referral,5,Event Referral,product_name,0.059958649
AioLgRmSJo,Hotel Referral,1,Flight Referral,product_name,0.119917298
AioLgRmSJo,Hotel Referral,2,Hotel Search,product_name,0.105444521
AioLgRmSJo,Hotel Referral,3,Flight Search,product_name,0.072363887
AioLgRmSJo,Hotel Referral,4,Event Referral,product_name,0.059958649
AioLgRmSJo,Hotel Referral,5,Cruise Referral,product_name,0.052377671
AiQDwavWxe,Hotel Referral,1,Hotel Referral,product_name,0.380952381
AiQDwavWxe,Hotel Referral,2,Hotel Search,product_name,0.314285714
AiQDwavWxe,Hotel Referral,3,Flight Search,product_name,0.219047619
AiQDwavWxe,Hotel Referral,4,Flight Referral,product_name,0.142857143
AiQDwavWxe,Hotel Referral,5,Event Referral,product_name,0.066666667
AIueLVcfNN,Flight Referral,1,Hotel Referral,product_name,0.242002782
AIueLVcfNN,Flight Referral,2,Flight Search,product_name,0.098748261
AIueLVcfNN,Flight Referral,3,Hotel Search,product_name,0.082058414
AIueLVcfNN,Flight Referral,4,Event Referral,product_name,0.059805285
AIueLVcfNN,Flight Referral,5,Cruise Referral,product_name,0.059805285
aIwWwmccJv,Hotel Search,1,Hotel Referral,product_name,0.35334873
aIwWwmccJv,Hotel Search,2,Flight Search,product_name,0.145496536
aIwWwmccJv,Hotel Search,3,Flight Referral,product_name,0.136258661
aIwWwmccJv,Hotel Search,4,Car Search,product_name,0.076212471
aIwWwmccJv,Hotel Search,5,Event Referral,product_name,0.069284065
AjLUHdIAYD,Groupon Getaways,1,Hotel Referral,product_name,0.327380952
AjLUHdIAYD,Groupon Getaways,2,Flight Referral,product_name,0.130952381
AjLUHdIAYD,Groupon Getaways,3,Hotel Search,product_name,0.119047619
AjLUHdIAYD,Groupon Getaways,4,Package Referral,product_name,0.077380952
AjLUHdIAYD,Groupon Getaways,5,Cruise Referral,product_name,0.06547619
aKhbxqnEmu,Hotel Referral,1,Flight Referral,product_name,0.119917298
aKhbxqnEmu,Hotel Referral,2,Hotel Search,product_name,0.105444521
aKhbxqnEmu,Hotel Referral,3,Flight Search,product_name,0.072363887
aKhbxqnEmu,Hotel Referral,4,Event Referral,product_name,0.059958649
aKhbxqnEmu,Hotel Referral,5,Cruise Referral,product_name,0.052377671
aKQcNIqGNk,Flight Referral,1,Hotel Referral,product_name,0.242002782
aKQcNIqGNk,Flight Referral,2,Flight Search,product_name,0.098748261
aKQcNIqGNk,Flight Referral,3,Hotel Search,product_name,0.082058414
aKQcNIqGNk,Flight Referral,4,Event Referral,product_name,0.059805285
aKQcNIqGNk,Flight Referral,5,Cruise Referral,product_name,0.059805285
aKtvxVlDaT,Car Search,1,Hotel Referral,product_name,0.380952381
aKtvxVlDaT,Car Search,2,Hotel Search,product_name,0.314285714
aKtvxVlDaT,Car Search,3,Flight Search,product_name,0.219047619
aKtvxVlDaT,Car Search,4,Flight Referral,product_name,0.142857143
aKtvxVlDaT,Car Search,5,Event Referral,product_name,0.066666667
AKvacMpxUq,Flight Search,1,Hotel Referral,product_name,0.284552846
AKvacMpxUq,Flight Search,2,Flight Referral,product_name,0.192411924
AKvacMpxUq,Flight Search,3,Hotel Search,product_name,0.170731707
AKvacMpxUq,Flight Search,4,Event Referral,product_name,0.062330623
AKvacMpxUq,Flight Search,5,Car Search,product_name,0.062330623
akWjhIcisu,Hotel Referral,1,Flight Referral,product_name,0.119917298
akWjhIcisu,Hotel Referral,2,Hotel Search,product_name,0.105444521
akWjhIcisu,Hotel Referral,3,Flight Search,product_name,0.072363887
akWjhIcisu,Hotel Referral,4,Event Referral,product_name,0.059958649
akWjhIcisu,Hotel Referral,5,Cruise Referral,product_name,0.052377671
ALPxnimQTc,Hotel Referral,1,Flight Referral,product_name,0.119917298
ALPxnimQTc,Hotel Referral,2,Hotel Search,product_name,0.105444521
ALPxnimQTc,Hotel Referral,3,Flight Search,product_name,0.072363887
ALPxnimQTc,Hotel Referral,4,Event Referral,product_name,0.059958649
ALPxnimQTc,Hotel Referral,5,Cruise Referral,product_name,0.052377671
aLRDdZHPpW,Cruise Referral,1,Hotel Referral,product_name,0.263888889
aLRDdZHPpW,Cruise Referral,2,Flight Referral,product_name,0.149305556
aLRDdZHPpW,Cruise Referral,3,Hotel Search,product_name,0.09375
aLRDdZHPpW,Cruise Referral,4,Event Referral,product_name,0.065972222
aLRDdZHPpW,Cruise Referral,5,Package Referral,product_name,0.0625
aLYApiKOAo,Insurance,1,Hotel Referral,product_name,0.5
aLYApiKOAo,Insurance,2,Flight Search,product_name,0.166666667
ALYKxZTrTG,Hotel Referral,1,Hotel Referral,product_name,0.35334873
ALYKxZTrTG,Hotel Referral,2,Flight Search,product_name,0.145496536
ALYKxZTrTG,Hotel Referral,3,Flight Referral,product_name,0.136258661
ALYKxZTrTG,Hotel Referral,4,Hotel Search,product_name,0.105444521
ALYKxZTrTG,Hotel Referral,5,Car Search,product_name,0.076212471
amhptMEoxR,Hotel Referral,1,Flight Referral,product_name,0.119917298
amhptMEoxR,Hotel Referral,2,Hotel Search,product_name,0.105444521
amhptMEoxR,Hotel Referral,3,Flight Search,product_name,0.072363887
amhptMEoxR,Hotel Referral,4,Event Referral,product_name,0.059958649
amhptMEoxR,Hotel Referral,5,Cruise Referral,product_name,0.052377671
AMJPoDzFpG,Flight Referral,1,Hotel Referral,product_name,0.242002782
AMJPoDzFpG,Flight Referral,2,Flight Referral,product_name,0.212121212
AMJPoDzFpG,Flight Referral,3,Groupon Getaways,product_name,0.151515152
AMJPoDzFpG,Flight Referral,4,Event Referral,product_name,0.151515152
AMJPoDzFpG,Flight Referral,5,Hotel Search,product_name,0.105444521
AmNptQUjgV,Flight Search,1,Hotel Referral,product_name,0.284552846
AmNptQUjgV,Flight Search,2,Flight Referral,product_name,0.192411924
AmNptQUjgV,Flight Search,3,Hotel Search,product_name,0.170731707
AmNptQUjgV,Flight Search,4,Event Referral,product_name,0.062330623
AmNptQUjgV,Flight Search,5,Car Search,product_name,0.062330623
amrhAhuOxr,Flight Referral,1,Hotel Referral,product_name,0.242002782
amrhAhuOxr,Flight Referral,2,Flight Search,product_name,0.098748261
amrhAhuOxr,Flight Referral,3,Hotel Search,product_name,0.082058414
amrhAhuOxr,Flight Referral,4,Event Referral,product_name,0.059805285
amrhAhuOxr,Flight Referral,5,Cruise Referral,product_name,0.059805285
AMsvOulLtE,Hotel Referral,1,Flight Referral,product_name,0.119917298
AMsvOulLtE,Hotel Referral,2,Hotel Search,product_name,0.105444521
AMsvOulLtE,Hotel Referral,3,Flight Search,product_name,0.072363887
AMsvOulLtE,Hotel Referral,4,Event Referral,product_name,0.059958649
AMsvOulLtE,Hotel Referral,5,Cruise Referral,product_name,0.052377671
ANAfklFAAX,Flight Referral,1,Hotel Referral,product_name,0.242002782
ANAfklFAAX,Flight Referral,2,Flight Search,product_name,0.098748261
ANAfklFAAX,Flight Referral,3,Hotel Search,product_name,0.082058414
ANAfklFAAX,Flight Referral,4,Event Referral,product_name,0.059805285
ANAfklFAAX,Flight Referral,5,Cruise Referral,product_name,0.059805285
aNbUPhwbTk,Flight Search,1,Hotel Referral,product_name,0.284552846
aNbUPhwbTk,Flight Search,2,Flight Referral,product_name,0.192411924
aNbUPhwbTk,Flight Search,3,Hotel Search,product_name,0.170731707
aNbUPhwbTk,Flight Search,4,Event Referral,product_name,0.062330623
aNbUPhwbTk,Flight Search,5,Car Search,product_name,0.062330623
aNiBjhiExu,Hotel Referral,1,Flight Referral,product_name,0.119917298
aNiBjhiExu,Hotel Referral,2,Hotel Search,product_name,0.105444521
aNiBjhiExu,Hotel Referral,3,Flight Search,product_name,0.072363887
aNiBjhiExu,Hotel Referral,4,Event Referral,product_name,0.059958649
aNiBjhiExu,Hotel Referral,5,Cruise Referral,product_name,0.052377671
aNoQkHlrHh,Flight Referral,1,Hotel Referral,product_name,0.242002782
aNoQkHlrHh,Flight Referral,2,Flight Search,product_name,0.098748261
aNoQkHlrHh,Flight Referral,3,Hotel Search,product_name,0.082058414
aNoQkHlrHh,Flight Referral,4,Event Referral,product_name,0.059805285
aNoQkHlrHh,Flight Referral,5,Cruise Referral,product_name,0.059805285
aNrkghHJjL,Hotel Referral,1,Flight Referral,product_name,0.119917298
aNrkghHJjL,Hotel Referral,2,Hotel Search,product_name,0.105444521
aNrkghHJjL,Hotel Referral,3,Flight Search,product_name,0.072363887
aNrkghHJjL,Hotel Referral,4,Event Referral,product_name,0.059958649
aNrkghHJjL,Hotel Referral,5,Cruise Referral,product_name,0.052377671
AnvzPHPxNO,Flight Referral,1,Hotel Referral,product_name,0.242002782
AnvzPHPxNO,Flight Referral,2,Flight Search,product_name,0.098748261
AnvzPHPxNO,Flight Referral,3,Hotel Search,product_name,0.082058414
AnvzPHPxNO,Flight Referral,4,Event Referral,product_name,0.059805285
AnvzPHPxNO,Flight Referral,5,Cruise Referral,product_name,0.059805285
aodvfYNkuW,Event Referral,1,Hotel Referral,product_name,0.256637168
aodvfYNkuW,Event Referral,2,Flight Referral,product_name,0.126843658
aodvfYNkuW,Event Referral,3,Hotel Search,product_name,0.088495575
aodvfYNkuW,Event Referral,4,Flight Search,product_name,0.067846608
aodvfYNkuW,Event Referral,5,Cruise Referral,product_name,0.056047198
aOFtqQRxKn,Flight Search,1,Hotel Referral,product_name,0.284552846
aOFtqQRxKn,Flight Search,2,Flight Referral,product_name,0.192411924
aOFtqQRxKn,Flight Search,3,Hotel Search,product_name,0.170731707
aOFtqQRxKn,Flight Search,4,Event Referral,product_name,0.062330623
aOFtqQRxKn,Flight Search,5,Car Search,product_name,0.062330623
AolFKUmpSe,Event Referral,1,Hotel Referral,product_name,0.256637168
AolFKUmpSe,Event Referral,2,Flight Referral,product_name,0.126843658
AolFKUmpSe,Event Referral,3,Hotel Search,product_name,0.088495575
AolFKUmpSe,Event Referral,4,Flight Search,product_name,0.067846608
AolFKUmpSe,Event Referral,5,Cruise Referral,product_name,0.056047198
AoNQklQsqg,Hotel Referral,1,Flight Referral,product_name,0.119917298
AoNQklQsqg,Hotel Referral,2,Hotel Search,product_name,0.105444521
AoNQklQsqg,Hotel Referral,3,Flight Search,product_name,0.072363887
AoNQklQsqg,Hotel Referral,4,Event Referral,product_name,0.059958649
AoNQklQsqg,Hotel Referral,5,Cruise Referral,product_name,0.052377671
AOouhqYrQB,Cruise Referral,1,Hotel Referral,product_name,0.263888889
AOouhqYrQB,Cruise Referral,2,Flight Referral,product_name,0.149305556
AOouhqYrQB,Cruise Referral,3,Hotel Search,product_name,0.09375
AOouhqYrQB,Cruise Referral,4,Event Referral,product_name,0.065972222
AOouhqYrQB,Cruise Referral,5,Package Referral,product_name,0.0625
AOqxAYhqDB,Hotel Referral,1,Flight Referral,product_name,0.119917298
AOqxAYhqDB,Hotel Referral,2,Hotel Search,product_name,0.105444521
AOqxAYhqDB,Hotel Referral,3,Flight Search,product_name,0.072363887
AOqxAYhqDB,Hotel Referral,4,Event Referral,product_name,0.059958649
AOqxAYhqDB,Hotel Referral,5,Cruise Referral,product_name,0.052377671
AoRgfutbbf,Hotel Referral,1,Flight Referral,product_name,0.119917298
AoRgfutbbf,Hotel Referral,2,Hotel Search,product_name,0.105444521
AoRgfutbbf,Hotel Referral,3,Flight Search,product_name,0.072363887
AoRgfutbbf,Hotel Referral,4,Event Referral,product_name,0.059958649
AoRgfutbbf,Hotel Referral,5,Cruise Referral,product_name,0.052377671
AouNVhkZPA,Event Referral,1,Hotel Referral,product_name,0.256637168
AouNVhkZPA,Event Referral,2,Flight Referral,product_name,0.126843658
AouNVhkZPA,Event Referral,3,Hotel Search,product_name,0.088495575
AouNVhkZPA,Event Referral,4,Flight Search,product_name,0.067846608
AouNVhkZPA,Event Referral,5,Cruise Referral,product_name,0.056047198
aoxGFykWKj,Hotel Referral,1,Hotel Referral,product_name,0.284552846
aoxGFykWKj,Hotel Referral,2,Flight Referral,product_name,0.192411924
aoxGFykWKj,Hotel Referral,3,Hotel Search,product_name,0.170731707
aoxGFykWKj,Hotel Referral,4,Flight Search,product_name,0.098748261
aoxGFykWKj,Hotel Referral,5,Event Referral,product_name,0.062330623
aPaLbhfzFr,Hotel Search,1,Hotel Referral,product_name,0.35334873
aPaLbhfzFr,Hotel Search,2,Flight Search,product_name,0.145496536
aPaLbhfzFr,Hotel Search,3,Flight Referral,product_name,0.136258661
aPaLbhfzFr,Hotel Search,4,Car Search,product_name,0.076212471
aPaLbhfzFr,Hotel Search,5,Event Referral,product_name,0.069284065
